rank,word,training_frequency
1,the,51402
2,of,38114
3,and,30606
4,to,26207
5,in,22098
6,a,21241
7,for,13662
8,is,12429
9,you,9767
10,on,9251
11,be,9037
12,i,8861
13,that,8571
14,this,7446
15,it,6597
16,are,6475
17,or,6440
18,as,6194
19,with,6153
20,will,6018
21,s,5803
22,language,5764
23,university,5518
24,by,5236
25,at,4728
26,from,4633
27,your,4274
28,have,4258
29,not,4247
30,e,3835
31,an,3742
32,we,3640
33,can,3328
34,if,3150
35,all,3106
36,linguistics,2956
37,mail,2917
38,information,2827
39,one,2786
40,which,2609
41,but,2537
42,de,2513
43,do,2500
44,t,2439
45,more,2269
46,papers,2252
47,d,2242
48,conference,2233
49,there,2229
50,about,2191
51,languages,2174
52,no,2136
53,english,2075
54,was,2055
55,please,2027
56,n,1947
57,should,1930
58,also,1901
59,email,1901
60,new,1899
61,address,1889
62,has,1887
63,other,1886
64,would,1878
65,my,1871
66,what,1868
67,http,1831
68,any,1825
69,edu,1814
70,they,1793
71,may,1781
72,our,1759
73,out,1751
74,some,1736
75,only,1710
76,so,1697
77,fax,1683
78,how,1664
79,their,1644
80,research,1618
81,workshop,1606
82,who,1574
83,order,1547
84,these,1512
85,program,1496
86,m,1489
87,www,1482
88,people,1451
89,like,1419
90,send,1418
91,name,1410
92,time,1389
93,us,1381
94,linguistic,1357
95,first,1319
96,work,1314
97,me,1297
98,use,1266
99,list,1249
100,paper,1248
101,call,1243
102,two,1242
103,than,1241
104,uk,1175
105,been,1167
106,get,1158
107,free,1131
108,such,1118
109,up,1117
110,make,1115
111,l,1108
112,c,1108
113,o,1100
114,number,1093
115,now,1082
116,following,1082
117,theory,1069
118,report,1065
119,com,1047
120,th,1042
121,them,1042
122,each,1039
123,speech,1039
124,just,1025
125,available,1023
126,web,1011
127,u,1007
128,many,1005
129,p,989
130,he,980
131,book,979
132,when,979
133,usa,966
134,between,960
135,word,956
136,very,947
137,form,944
138,money,938
139,b,937
140,g,934
141,am,923
142,most,911
143,over,905
144,well,896
145,those,889
146,international,887
147,registration,884
148,ac,884
149,its,873
150,grammar,867
151,here,865
152,does,859
153,addresses,856
154,must,847
155,case,846
156,department,844
157,know,841
158,include,836
159,computer,834
160,words,833
161,systems,833
162,contact,828
163,analysis,822
164,discourse,816
165,based,813
166,text,810
167,j,809
168,abstracts,802
169,state,800
170,see,798
171,different,798
172,syntax,793
173,h,791
174,way,789
175,into,784
176,world,780
177,internet,768
178,had,766
179,including,765
180,r,763
181,business,761
182,where,760
183,science,757
184,could,747
185,session,743
186,both,741
187,data,733
188,were,732
189,john,731
190,even,724
191,etc,718
192,then,718
193,studies,714
194,used,713
195,submission,711
196,take,709
197,la,708
198,below,705
199,abstract,704
200,much,703
201,special,703
202,discussion,699
203,phone,699
204,page,692
205,system,687
206,site,678
207,his,676
208,submissions,670
209,before,668
210,second,666
211,x,666
212,sent,661
213,further,655
214,general,653
215,same,652
216,speakers,650
217,within,650
218,committee,646
219,re,641
220,after,638
221,part,634
222,software,628
223,find,624
224,received,620
225,using,620
226,day,604
227,non,602
228,html,601
229,acquisition,596
230,pp,596
231,need,595
232,subject,593
233,invited,592
234,structure,591
235,issues,590
236,receive,589
237,want,586
238,semantics,582
239,through,581
240,students,578
241,made,575
242,because,573
243,questions,572
244,copy,568
245,natural,566
246,place,565
247,possible,562
248,level,559
249,processing,558
250,deadline,557
251,institute,553
252,interested,549
253,tel,545
254,title,545
255,knowledge,543
256,learning,542
257,interest,542
258,best,542
259,v,538
260,author,537
261,being,536
262,cognitive,536
263,think,534
264,three,531
265,computational,528
266,study,527
267,lexical,527
268,full,526
269,check,521
270,school,520
271,german,515
272,date,513
273,course,512
274,own,511
275,phonology,510
276,linguist,507
277,years,506
278,year,506
279,translation,506
280,june,506
281,orders,506
282,development,505
283,home,503
284,every,502
285,french,502
286,line,501
287,press,498
288,f,493
289,k,491
290,important,489
291,related,487
292,social,478
293,per,476
294,ca,475
295,given,474
296,dr,474
297,applications,473
298,mailing,472
299,reports,472
300,did,470
301,least,469
302,since,469
303,example,468
304,change,467
305,provide,467
306,teaching,463
307,help,463
308,st,462
309,japanese,460
310,good,458
311,american,458
312,read,456
313,break,456
314,et,455
315,position,451
316,volume,451
317,chair,451
318,anyone,450
319,letter,450
320,above,450
321,august,449
322,card,448
323,technology,447
324,message,444
325,however,442
326,working,442
327,european,441
328,credit,441
329,type,439
330,ll,439
331,held,439
332,topics,439
333,participants,437
334,authors,436
335,human,434
336,field,432
337,spanish,432
338,come,431
339,question,429
340,pages,429
341,found,428
342,linguists,428
343,communication,425
344,point,425
345,experience,425
346,canada,424
347,via,422
348,area,421
349,reference,421
350,several,420
351,under,419
352,march,416
353,programme,414
354,student,414
355,might,413
356,published,413
357,semantic,413
358,say,412
359,box,412
360,resources,412
361,names,412
362,syntactic,411
363,another,410
364,minutes,409
365,either,408
366,while,408
367,theoretical,408
368,electronic,408
369,making,408
370,references,407
371,sessions,406
372,go,406
373,few,405
374,long,405
375,copies,404
376,members,402
377,w,401
378,back,400
379,july,400
380,note,399
381,examples,397
382,present,397
383,days,394
384,april,394
385,verb,393
386,why,392
387,areas,391
388,account,390
389,right,390
390,little,388
391,let,386
392,four,386
393,summary,385
394,give,382
395,thanks,382
396,germany,382
397,service,381
398,york,379
399,accepted,378
400,marketing,375
401,journal,374
402,submit,374
403,without,373
404,current,373
405,education,371
406,final,370
407,follow,369
408,aspects,368
409,meaning,368
410,single,367
411,evaluation,367
412,en,367
413,whether,366
414,cd,366
415,programs,365
416,particular,365
417,city,364
418,last,364
419,group,364
420,forms,362
421,main,362
422,week,362
423,france,361
424,issue,360
425,review,359
426,great,358
427,national,358
428,lists,357
429,society,356
430,college,356
431,topic,356
432,results,356
433,still,355
434,set,354
435,approach,352
436,others,351
437,morphology,350
438,david,349
439,today,349
440,limited,349
441,nl,349
442,links,349
443,des,347
444,various,347
445,bulk,346
446,meeting,344
447,context,342
448,less,342
449,native,342
450,ve,342
451,fact,341
452,logic,339
453,written,339
454,section,339
455,start,338
456,proceedings,338
457,chinese,338
458,y,337
459,focus,337
460,again,337
461,person,337
462,ed,335
463,major,335
464,spoken,335
465,machine,335
466,problem,334
467,multi,334
468,details,332
469,specific,332
470,opportunity,332
471,applied,330
472,corpus,330
473,price,329
474,due,327
475,works,327
476,methods,327
477,required,326
478,really,326
