rank,word,training_frequency
1,the,52888
2,of,39588
3,be,32154
4,and,32118
5,to,26007
6,in,22608
7,a,21106
8,for,14021
9,on,9669
10,you,9429
11,language,8230
12,that,8022
13,i,7956
14,this,7429
15,have,6704
16,will,6375
17,it,6355
18,or,6262
19,as,6149
20,university,6118
21,with,6092
22,s,5548
23,by,5396
24,at,4915
25,from,4759
26,e,4245
27,your,4238
28,not,4004
29,do,3797
30,an,3795
31,mail,3681
32,we,3554
33,linguistic,3325
34,can,3223
35,all,3088
36,de,3024
37,if,3023
38,information,2995
39,address,2915
40,one,2795
41,conference,2769
42,use,2631
43,which,2614
44,but,2362
45,d,2322
46,send,2259
47,t,2243
48,order,2232
49,more,2226
50,please,2199
51,other,2195
52,include,2183
53,may,2160
54,new,2158
55,english,2157
56,workshop,2155
57,http,2140
58,there,2113
59,about,2086
60,no,2076
61,make,2066
62,paper,2064
63,work,2040
64,should,2033
65,program,1945
66,email,1917
67,also,1914
68,name,1856
69,n,1844
70,edu,1828
71,fax,1824
72,what,1812
73,papers,1778
74,research,1773
75,word,1762
76,list,1757
77,follow,1752
78,out,1725
79,www,1722
80,they,1709
81,my,1709
82,our,1705
83,any,1705
84,would,1679
85,system,1664
86,their,1662
87,call,1651
88,only,1650
89,some,1633
90,so,1607
91,abstract,1604
92,time,1594
93,how,1576
94,m,1552
95,report,1522
96,these,1499
97,us,1439
98,submission,1437
99,who,1430
100,get,1429
