version,filename,fold,label,label_number,subject,token_count,path
lemm,3-1msg1.txt,1,ham,0,re : 2 . 882 s - > np np,164,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-1msg1.txt
lemm,3-1msg2.txt,1,ham,0,s - > np + np,70,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-1msg2.txt
lemm,3-1msg3.txt,1,ham,0,2 . 882 s - > np np,24,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-1msg3.txt
lemm,3-375msg1.txt,1,ham,0,gent conference,1014,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-375msg1.txt
lemm,3-378msg1.txt,1,ham,0,query : causative in korean,34,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-378msg1.txt
lemm,3-378msg2.txt,1,ham,0,l2 learn / cultural empathy,166,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-378msg2.txt
lemm,3-378msg3.txt,1,ham,0,psycholinguistic teach,60,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-378msg3.txt
lemm,3-378msg4.txt,1,ham,0,german corpora,23,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-378msg4.txt
lemm,3-378msg5.txt,1,ham,0,t,84,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-378msg5.txt
lemm,3-379msg1.txt,1,ham,0,job - university of utah,110,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-379msg1.txt
lemm,3-379msg2.txt,1,ham,0,job : montreal,197,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-379msg2.txt
lemm,3-379msg3.txt,1,ham,0,lectureship in linguistic,168,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-379msg3.txt
lemm,3-380msg1.txt,1,ham,0,negative concord,71,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg1.txt
lemm,3-380msg2.txt,1,ham,0,,54,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg2.txt
lemm,3-380msg3.txt,1,ham,0,query : email address,24,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg3.txt
lemm,3-380msg4.txt,1,ham,0,posting,52,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg4.txt
lemm,3-380msg5.txt,1,ham,0,query on icelandic,112,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg5.txt
lemm,3-380msg6.txt,1,ham,0,search,58,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg6.txt
lemm,3-380msg7.txt,1,ham,0,"re : 3 . 378 korean , l2 , psycholinguistic , german",111,C:\Users\the50\Downloads\lingspam_public\lingspam_public\lemm\part1\3-380msg7.txt
