rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,you
10,on
11,be
12,i
13,that
14,this
15,it
16,are
17,or
18,as
19,with
20,will
21,s
22,language
23,university
24,by
25,at
26,from
27,your
28,have
29,not
30,e
31,an
32,we
33,can
34,if
35,all
36,linguistics
37,mail
38,information
39,one
40,which
41,but
42,de
43,do
44,t
45,more
46,papers
47,d
48,conference
49,there
50,about
51,languages
52,no
53,english
54,was
55,please
56,n
57,should
58,also
59,email
60,new
61,address
62,has
63,other
64,would
65,my
66,what
67,http
68,any
69,edu
70,they
71,may
72,our
73,out
74,some
75,only
76,so
77,fax
78,how
79,their
80,research
81,workshop
82,who
83,order
84,these
85,program
86,m
87,www
88,people
89,like
90,send
91,name
92,time
93,us
94,linguistic
95,first
96,work
97,me
98,use
99,list
100,paper
